央视频道,#genre#
CCTV-1,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-2,http://111.48.34.138/000000001000PLTV/88888888/224/3221230359/1.m3u8
CCTV-3,http://111.48.34.138/000000001000PLTV/88888888/224/3221230394/1.m3u8
CCTV-4,http://111.48.34.138/000000001000PLTV/88888888/224/3221230489/1.m3u8
CCTV-5,http://111.48.34.138/000000001000PLTV/88888888/224/3221230400/1.m3u8
CCTV-5+,http://111.48.34.138/000000001000PLTV/88888888/224/3221230400/1.m3u8
CCTV-6,http://111.48.34.138/000000001000PLTV/88888888/224/3221230451/1.m3u8
CCTV-7,http://111.48.34.138/000000001000PLTV/88888888/224/3221230442/1.m3u8
CCTV-8,http://111.48.34.138/000000001000PLTV/88888888/224/3221230445/1.m3u8
CCTV-9,http://111.48.34.138/000000001000PLTV/88888888/224/3221230330/1.m3u8
CCTV-10,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-11,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-12,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-13,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-14,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-15,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-16,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-17,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV4K,http://111.48.34.138/000000001000PLTV/88888888/224/3221230489/1.m3u8

卫视频道,#genre#
湖北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230509/1.m3u8
湖南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229983/1.m3u8
北京卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230501/1.m3u8
江苏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230497/1.m3u8
江西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230519/1.m3u8
辽宁卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230464/1.m3u8
东南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230507/1.m3u8
甘肃卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230521/1.m3u8
广东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230503/1.m3u8
广西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230328/1.m3u8
云南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230637/1.m3u8
浙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230460/1.m3u8
重庆卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230139/1.m3u8
吉林卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230361/1.m3u8
三沙卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230410/1.m3u8
厦门卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230527/1.m3u8
山东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230456/1.m3u8
山东教育,http://111.48.34.138/000000001000PLTV/88888888/224/3221230459/1.m3u8
山西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230038/1.m3u8
陕西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230525/1.m3u8
深圳卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230454/1.m3u8
四川卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230140/1.m3u8
天津卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230458/1.m3u8
安徽卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230505/1.m3u8
贵州卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230138/1.m3u8
海南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230141/1.m3u8
河南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230511/1.m3u8
河北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230143/1.m3u8
宁夏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230036/1.m3u8
青海卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230101/1.m3u8
新疆卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230659/1.m3u8
西藏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230624/1.m3u8
延边卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230557/1.m3u8
兵团卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230032/1.m3u8
康巴卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230555/1.m3u8
黑龙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230462/1.m3u8
内蒙古卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230039/1.m3u8

湖北频道,#genre#
湖北经视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230388/1.m3u8
湖北综合,http://111.48.34.138/000000001000PLTV/88888888/224/3221230439/1.m3u8
湖北垄上,http://111.48.34.138/000000001000PLTV/88888888/224/3221230390/1.m3u8
湖北公共,http://111.48.34.138/000000001000PLTV/88888888/224/3221230441/1.m3u8
湖北影视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230404/1.m3u8
荆门新闻,http://111.48.34.138/000000001000PLTV/88888888/224/3221230574/1.m3u8
武汉教育,http://111.48.34.138/000000001000PLTV/88888888/224/3221229783/1.m3u8
鄂州公共,
鄂州综合,
黄石都市,http://111.48.34.138/000000001000PLTV/88888888/224/3221230558/1.m3u8
咸宁综合,http://111.48.34.138/000000001000PLTV/88888888/224/3221229876/1.m3u8
咸宁经济,http://111.48.34.138/000000001000PLTV/88888888/224/3221229907/1.m3u8
通山综合,https://tongshan-live21.cjyun.org/10134/s10134-TONGSHAN-live.m3u8?auth_key=1798732799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-47936ec27159c1f2b4e1ddfd4c2caa46
孝感综合,
孝感公共,
荆州垄上,http://111.48.34.138/000000001000PLTV/88888888/224/3221230560/1.m3u8
襄阳经济,http://111.48.34.138/000000001000PLTV/88888888/224/3221229848/1.m3u8
宜昌综合,http://111.48.34.138/000000001000PLTV/88888888/224/3221230587/1.m3u8
宜昌旅游,http://111.48.34.138/000000001000PLTV/88888888/224/3221230589/1.m3u8
恩施综合,
十堰综合,
十堰经济,http://111.48.34.138/000000001000PLTV/88888888/224/3221230368/1.m3u8
汉川综合,
大悟综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000468
秭归融媒,
随州综合,http://111.48.34.138/000000001000PLTV/88888888/224/3221230593/1.m3u8
随州农村,http://111.48.34.138/000000001000PLTV/88888888/224/3221230568/1.m3u8
仙桃综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000225
天门综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000236
黄冈综合,
黄冈生活,http://111.48.34.138/000000001000PLTV/88888888/224/3221230566/1.m3u8
安陆综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000630
南漳综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000453
广水综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000506
潜江综合,https://p2hs.vzan.com/slowlive/481008854192202056/live.m3u8
应城综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000524
武汉新闻,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000429
武汉生活,
武汉电视剧,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000430
丹江口综合,
神龙架综合频道,http://221.234.48.152:19888/hls/snjt/snjt_live.m3u8

影视频道,#genre#
CHC家庭影院,http://111.48.34.138/000000001000PLTV/88888888/224/3221230481/1.m3u8
CHC动作电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230434/1.m3u8
CHC影迷电影,http://111.48.34.138/000000001000PLTV/88888888/224/3221230483/1.m3u8
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
1905电影,https://cdn.jdshipin.com/1905.php
重温经典,http://8.138.7.223/tv/cwjd.php
中国电影,http://iptv.4666888.xyz/iptv2A.php?id=61
iQIYI,
风云电影,
